x_coords,y_coords
4330.0,2363.0
4328.0,2378.0
4328.0,2378.0
4978.0,2583.0
4987.0,2601.0
4992.0,2591.0
4992.0,2591.0
4984.0,2580.0
4978.0,2594.0
4982.0,2588.0
4982.0,2588.0
4976.0,2595.0
4978.0,2590.0
4990.0,2584.0
4977.0,2578.0
4992.0,2588.0
4987.0,2578.0
4987.0,2578.0
4978.0,2591.0
4978.0,2583.0
4978.0,2583.0
4978.0,2590.0
4959.0,2585.0
4959.0,2585.0
4961.0,2587.0
4955.0,2567.0
4951.0,2576.0
4954.0,2586.0
4954.0,2586.0
4954.0,2603.0
4954.0,2603.0
4959.0,2588.0
4964.0,2573.0
4961.0,2573.0
4960.0,2571.0
4960.0,2571.0
4960.0,2578.0
4967.0,2592.0
4979.0,2592.0
4989.0,2584.0
4989.0,2579.0
4989.0,2579.0
4988.0,2579.0
4982.0,2571.0
4982.0,2571.0
4994.0,2580.0
4968.0,2587.0
4968.0,2587.0
4984.0,2585.0
4973.0,2583.0
4962.0,2586.0
4974.0,2569.0
4974.0,2569.0
4979.0,2581.0
4963.0,2581.0
4951.0,2579.0
4957.0,2584.0
4951.0,2580.0
4962.0,2592.0
4956.0,2592.0
4956.0,2592.0
4964.0,2587.0
4949.0,2579.0
4947.0,2581.0
4947.0,2581.0
4963.0,2593.0
4975.0,2604.0
4974.0,2504.0
4966.0,2511.0
4976.0,2518.0
4976.0,2518.0
4957.0,2495.0
4987.0,2507.0
4987.0,2507.0
4988.0,2515.0
4989.0,2507.0
4987.0,2513.0
4983.0,2518.0
4985.0,2511.0
4985.0,2511.0
4989.0,2515.0
5288.0,2355.0
5286.0,2367.0
5286.0,2367.0
5294.0,2358.0
5307.0,2352.0
5298.0,2353.0
5288.0,2362.0
5288.0,2369.0
5288.0,2369.0
5296.0,2374.0
5284.0,2380.0
5290.0,2380.0
5290.0,2380.0
5289.0,2376.0
5299.0,2369.0
5291.0,2376.0
5288.0,2372.0
5288.0,2372.0
5292.0,2380.0
5283.0,2369.0
5275.0,2354.0
5278.0,2358.0
5278.0,2358.0
5296.0,2385.0
5294.0,2375.0
6138.0,2404.0
6148.0,2417.0
6148.0,2417.0
6133.0,2418.0
6149.0,2411.0
6150.0,2409.0
6150.0,2409.0
6152.0,2418.0
6112.0,2420.0
6130.0,2411.0
6130.0,2411.0
6136.0,2419.0
6126.0,2413.0
6118.0,2407.0
6118.0,2407.0
6144.0,2415.0
6145.0,2431.0
6145.0,2431.0
6145.0,2426.0
6148.0,2433.0
6154.0,2424.0
6151.0,2427.0
6151.0,2427.0
6148.0,2428.0
6138.0,2432.0
6135.0,2419.0
6135.0,2419.0
6148.0,2423.0
6150.0,2428.0
6154.0,2441.0
6150.0,2436.0
6146.0,2440.0
6146.0,2440.0
6144.0,2433.0
6151.0,2428.0
6155.0,2438.0
6155.0,2438.0
6154.0,2432.0
6156.0,2438.0
6161.0,2438.0
6161.0,2438.0
6165.0,2437.0
6157.0,2439.0
6152.0,2441.0
6152.0,2441.0
6136.0,2427.0
6140.0,2426.0
6144.0,2421.0
6153.0,2434.0
6153.0,2434.0
6143.0,2435.0
6133.0,2434.0
6132.0,2431.0
6126.0,2430.0
6126.0,2430.0
6123.0,2430.0
6130.0,2435.0
6148.0,2435.0
6148.0,2435.0
6159.0,2441.0
6161.0,2442.0
6161.0,2443.0
6161.0,2443.0
6156.0,2442.0
6146.0,2436.0
6143.0,2434.0
6143.0,2434.0
6141.0,2434.0
6139.0,2434.0
6139.0,2434.0
6138.0,2434.0
6135.0,2433.0
6134.0,2433.0
6132.0,2432.0
6132.0,2432.0
6129.0,2431.0
6142.0,2437.0
6144.0,2438.0
6149.0,2432.0
6733.0,2510.0
6733.0,2514.0
6727.0,2497.0
6727.0,2497.0
6726.0,2512.0
6719.0,2507.0
6722.0,2515.0
